PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
201143,Al Horford,Al,1610612738,BOS,38.0,60,44,16,0.733,1658.5733333333333,195,461,0.423,114,314,0.363,34,38,0.895,79,290,369,128,46,36,51,8,81,35,538,397,1387.8,7,0,1323.0,206,62,189,61,153,220,207,378,105,108,201,300,331,45,107,76,80,177,267,244,56,187,295,340,217,20,170,87,44,177
1631248,Baylor Scheierman,Baylor,1610612738,BOS,24.0,31,27,4,0.871,383.8883333333333,39,110,0.355,26,82,0.317,9,12,0.75,19,46,65,33,12,17,2,3,22,18,113,29,285.5,0,0,275.0,402,232,50,14,407,429,406,505,309,301,346,437,443,310,374,402,401,390,437,363,459,99,131,407,419,171,421,281,44,413
1628401,Derrick White,Derrick,1610612738,BOS,30.0,76,58,18,0.763,2573.615,424,959,0.442,265,691,0.384,135,161,0.839,67,274,341,361,131,72,80,23,138,164,1248,540,2523.7,4,0,2519.0,51,7,211,53,20,60,51,305,4,5,124,97,107,121,133,83,94,37,69,70,21,356,456,86,53,6,42,116,44,35
1641809,Drew Peterson,Drew,1610612738,BOS,25.0,25,17,8,0.68,186.14666666666668,17,41,0.415,13,33,0.394,7,9,0.778,9,31,40,13,8,5,2,3,18,7,54,46,134.5,0,0,134.0,427,323,104,80,459,479,476,407,377,397,105,457,467,252,448,438,446,458,463,461,459,99,113,473,471,143,467,281,44,466
1631120,JD Davison,JD,1610612738,BOS,22.0,16,13,3,0.813,92.915,12,34,0.353,4,18,0.222,5,7,0.714,2,11,13,13,13,5,1,0,2,5,33,-28,73.1,0,0,75.0,469,382,39,27,498,493,486,506,440,441,463,476,481,374,520,499,501,458,433,461,489,1,24,489,494,338,497,281,44,494
1627759,Jaylen Brown,Jaylen,1610612738,BOS,28.0,63,46,17,0.73,2157.9283333333333,518,1118,0.463,116,358,0.324,246,322,0.764,82,286,368,286,162,73,19,68,154,292,1398,402,2382.6,5,0,2352.0,185,45,202,64,67,34,31,230,101,83,332,37,31,284,100,78,82,64,40,66,210,551,492,20,34,18,54,106,44,52
1628369,Jayson Tatum,Jayson,1610612738,BOS,27.0,72,53,19,0.736,2623.8166666666666,662,1465,0.452,250,728,0.343,358,440,0.814,48,575,623,431,209,76,38,56,157,307,1932,534,3459.1,31,2,3464.0,95,17,226,60,14,6,3,272,7,4,266,11,10,184,202,8,17,17,9,56,94,526,498,16,5,7,5,18,15,6
1641775,Jordan Walsh,Jordan,1610612738,BOS,21.0,52,39,13,0.75,403.00333333333333,30,83,0.361,15,55,0.273,7,12,0.583,23,46,69,19,17,12,11,3,30,15,82,25,245.3,0,0,231.0,267,100,157,56,400,450,433,500,361,349,420,457,443,493,342,402,392,435,399,406,311,99,157,426,445,180,435,281,44,435
201950,Jrue Holiday,Jrue,1610612738,BOS,34.0,62,47,15,0.758,1896.0683333333334,254,573,0.443,108,306,0.353,70,77,0.909,76,189,265,239,77,66,27,23,101,75,686,339,1564.5,1,0,1484.0,192,36,179,55,104,161,147,301,119,120,235,198,231,34,110,169,154,79,163,95,150,356,351,217,159,27,139,198,44,139
204001,Kristaps Porziņģis,Kristaps,1610612738,BOS,29.0,42,30,12,0.714,1209.9633333333334,277,574,0.483,103,250,0.412,161,199,0.809,68,216,284,87,53,31,63,23,116,214,818,173,1518.3,6,0,1480.0,330,196,146,68,234,137,145,172,133,158,55,75,80,201,129,124,136,251,245,278,39,356,406,55,119,81,149,93,44,141
1628436,Luke Kornet,Luke,1610612738,BOS,29.0,73,53,20,0.726,1361.06,187,280,0.668,0,3,0.0,67,97,0.691,190,198,388,117,31,36,71,21,119,104,441,401,1372.1,3,0,1160.0,86,17,242,65,204,228,287,16,499,503,499,206,187,406,15,154,71,196,330,244,30,337,412,164,254,19,173,134,44,209
1641936,Miles Norris,Miles,1610612738,BOS,25.0,3,2,1,0.667,34.916666666666664,2,9,0.222,2,7,0.286,1,2,0.5,2,7,9,0,0,2,1,1,0,1,7,-14,26.8,0,0,24.0,549,525,10,84,531,540,535,548,466,477,396,530,519,506,520,514,515,558,551,501,489,49,1,530,541,289,531,281,44,530
1629674,Neemias Queta,Neemias,1610612738,BOS,25.0,62,46,16,0.742,863.09,132,203,0.65,0,3,0.0,46,61,0.754,89,147,236,45,40,18,42,13,106,58,310,155,800.7,0,0,711.0,192,45,189,57,293,287,330,22,499,503,499,271,270,303,86,242,186,353,286,357,75,254,371,264,310,89,288,281,44,298
1630202,Payton Pritchard,Payton,1610612738,BOS,27.0,80,59,21,0.738,2270.875,409,866,0.472,255,626,0.407,71,84,0.845,102,205,307,279,83,70,14,38,118,86,1144,430,2099.9,5,0,2153.0,16,6,253,58,48,65,69,205,5,11,66,197,216,116,68,141,118,69,145,77,265,458,411,195,65,15,71,106,44,65
1630573,Sam Hauser,Sam,1610612738,BOS,27.0,71,52,19,0.732,1541.1333333333334,214,474,0.451,166,399,0.416,11,11,1.0,44,180,224,64,23,41,13,4,87,29,605,325,1108.8,0,0,1167.0,108,19,226,62,170,193,198,273,40,59,49,426,451,1,221,183,196,308,365,209,281,125,309,359,186,34,222,281,44,208
1628470,Torrey Craig,Torrey,1610612738,BOS,34.0,26,16,10,0.615,313.94666666666666,38,90,0.422,24,66,0.364,8,12,0.667,27,46,73,17,8,8,12,3,34,10,108,-49,273.1,0,0,262.0,424,340,117,144,428,431,427,382,319,332,195,444,443,438,313,402,385,444,463,442,295,99,174,454,426,377,425,281,44,424
1630214,Xavier Tillman,Xavier,1610612738,BOS,26.0,33,26,7,0.788,230.90333333333334,13,53,0.245,5,32,0.156,3,4,0.75,10,33,43,7,14,11,5,4,18,5,34,-12,130.1,0,0,121.0,390,240,90,38,450,488,467,547,435,399,488,493,502,310,444,434,442,490,423,414,396,125,113,489,492,283,469,281,44,472
