PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1629643,Chuma Okeke,Chuma,1610612739,CLE,26.0,9,2,7,0.222,196.68,20,40,0.5,11,28,0.393,2,3,0.667,21,26,47,15,3,5,4,1,5,7,53,-28,155.9,1,0,144.0,509,525,90,509,458,471,478,125,390,411,109,508,515,438,358,449,432,454,513,461,414,49,51,473,473,338,456,198,44,458
1641854,Craig Porter Jr.,Craig,1610612739,CLE,25.0,51,40,11,0.784,513.265,72,140,0.514,21,48,0.438,23,32,0.719,19,48,67,71,38,17,15,20,25,23,188,-45,432.9,0,0,411.0,275,89,128,43,370,358,372,103,336,367,21,354,357,366,374,394,395,289,300,363,257,329,142,383,363,371,374,281,44,370
1629636,Darius Garland,Darius,1610612739,CLE,25.0,75,60,15,0.8,2300.77,554,1174,0.472,212,529,0.401,224,255,0.878,47,167,214,506,189,91,11,43,143,227,1544,499,2676.8,7,0,2680.0,59,5,179,32,39,25,22,207,18,21,77,44,51,72,205,206,214,9,24,28,311,483,467,47,22,12,31,87,44,26
1629631,De'Andre Hunter,De'Andre,1610612739,CLE,27.0,64,38,26,0.594,1740.015,358,762,0.47,157,388,0.405,215,254,0.846,44,214,258,92,82,50,13,39,155,211,1088,88,1642.6,2,0,1721.0,170,110,315,182,141,93,92,210,53,68,74,50,52,112,221,130,163,245,149,161,281,462,496,56,74,115,118,159,44,106
1629731,Dean Wade,Dean,1610612739,CLE,28.0,59,47,12,0.797,1252.4516666666666,112,271,0.413,80,222,0.36,16,30,0.533,51,198,249,76,22,42,20,9,101,32,320,284,896.8,1,0,849.0,218,36,146,37,222,315,294,410,177,178,209,396,362,502,192,154,172,281,371,206,204,197,351,347,304,47,269,198,44,274
1628378,Donovan Mitchell,Donovan,1610612739,CLE,28.0,71,55,16,0.775,2232.0333333333333,585,1320,0.443,233,633,0.368,298,362,0.823,57,265,322,354,149,95,17,50,140,278,1701,522,2805.4,6,0,2834.0,108,11,189,49,54,19,10,303,12,10,180,19,22,158,165,90,105,40,50,23,225,506,462,24,17,8,25,93,44,18
1641734,Emoni Bates,Emoni,1610612739,CLE,21.0,10,9,1,0.9,74.78333333333333,13,38,0.342,11,30,0.367,0,0,0.0,0,7,7,8,2,1,1,0,4,0,37,-34,61.4,0,0,67.0,503,434,10,13,506,488,480,513,390,406,184,544,548,544,548,514,530,485,520,521,489,1,43,556,485,354,507,281,44,501
1630596,Evan Mobley,Evan,1610612739,CLE,23.0,71,58,13,0.817,2166.555,505,906,0.557,85,230,0.37,221,305,0.725,164,495,659,226,145,61,113,51,141,239,1316,546,2822.8,37,0,2634.0,108,7,157,24,63,36,62,64,165,171,175,45,38,358,26,14,15,85,53,111,5,511,464,44,47,5,23,13,44,29
1630171,Isaac Okoro,Isaac,1610612739,CLE,24.0,55,44,11,0.8,1053.2033333333334,124,267,0.464,56,151,0.371,33,46,0.717,49,81,130,68,23,32,16,19,104,44,337,253,716.0,0,0,687.0,253,62,128,32,261,295,300,227,231,239,171,306,304,371,200,335,308,295,365,274,242,320,361,309,295,57,307,281,44,304
1628386,Jarrett Allen,Jarrett,1610612739,CLE,27.0,82,64,18,0.78,2296.0533333333333,452,640,0.706,0,5,0.0,199,277,0.718,216,582,798,158,97,77,73,47,127,257,1103,514,2650.6,40,0,2359.0,1,1,211,44,41,55,117,6,499,488,499,54,46,368,11,6,6,137,115,54,28,498,434,34,72,9,33,10,44,49
