PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1631214,Alondes Williams,Alondes,1610612765,DET,25.0,1,0,1,0.0,3.716666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5,6,6.5,0,0,7.0,562,557,10,557,567,540,558,1,479,525,1,544,548,544,548,564,565,545,551,541,519,1,1,556,548,217,556,281,44,556
1641709,Ausar Thompson,Ausar,1610612765,DET,22.0,59,34,25,0.576,1327.715,246,460,0.535,11,49,0.224,91,142,0.641,111,192,303,134,80,98,40,42,164,130,594,67,1492.6,3,0,1318.0,218,157,300,206,210,172,208,76,390,362,462,156,128,460,60,166,120,168,157,19,84,480,511,116,191,125,153,134,44,179
1641752,Bobi Klintman,Bobi,1610612765,DET,22.0,8,4,4,0.5,42.38166666666667,6,10,0.6,2,5,0.4,1,2,0.5,1,6,7,7,1,2,1,0,8,2,15,0,41.9,0,0,37.0,516,493,50,266,529,517,532,40,466,488,78,530,519,506,532,520,530,490,535,501,489,1,64,518,521,236,522,281,44,523
1630595,Cade Cunningham,Cade,1610612765,DET,23.0,70,38,32,0.543,2451.9466666666667,684,1457,0.469,149,418,0.356,313,370,0.846,56,369,425,638,309,71,53,100,195,279,1830,175,3360.0,31,9,3290.0,118,110,413,236,29,5,4,212,61,50,219,15,19,115,166,33,56,5,3,73,52,568,550,23,9,78,9,18,5,8
1642450,Daniss Jenkins,Daniss,1610612765,DET,23.0,7,3,4,0.429,22.748333333333335,3,10,0.3,1,7,0.143,0,2,0.0,0,2,2,3,1,0,0,0,2,2,7,-9,12.9,0,0,13.0,521,508,50,365,544,537,532,533,479,477,492,544,519,544,548,547,555,521,535,541,519,1,24,518,541,272,550,281,44,549
203471,Dennis Schröder,Dennis,1610612765,DET,31.0,75,37,38,0.493,2104.778333333333,336,827,0.406,127,371,0.342,181,216,0.838,27,171,198,404,142,66,12,57,180,211,980,-72,1915.6,7,0,1865.0,59,124,475,290,76,102,79,425,88,73,271,65,71,122,313,195,232,24,55,95,295,528,534,56,89,420,91,87,44,88
1630191,Isaiah Stewart,Isaiah,1610612765,DET,23.0,72,38,34,0.528,1433.8483333333334,176,315,0.559,17,53,0.321,66,87,0.759,130,269,399,123,68,28,101,12,183,93,435,9,1417.3,2,0,1232.0,95,110,441,250,186,240,267,63,350,352,339,212,207,297,42,86,66,187,197,292,11,241,540,187,259,206,164,159,44,193
1631093,Jaden Ivey,Jaden,1610612765,DET,23.0,30,14,16,0.467,898.0333333333333,190,413,0.46,63,154,0.409,85,116,0.733,40,84,124,119,89,28,11,26,67,95,528,-62,883.3,0,0,912.0,409,364,189,319,289,225,227,242,215,235,60,164,165,345,244,329,315,193,126,292,311,386,264,179,223,396,272,281,44,259
1631105,Jalen Duren,Jalen,1610612765,DET,21.0,78,43,35,0.551,2033.5483333333334,378,546,0.692,0,0,0.0,162,242,0.669,277,530,807,209,136,54,89,55,251,202,918,36,2492.9,41,0,2220.0,35,75,447,229,85,82,163,11,499,542,499,72,58,436,2,11,5,97,63,143,18,523,568,61,96,163,44,9,44,58
1630322,Lindy Waters III,Lindy,1610612765,DET,27.0,52,27,25,0.519,778.41,92,249,0.369,64,186,0.344,8,11,0.727,20,90,110,52,20,27,11,10,62,17,256,13,560.0,0,0,558.0,267,232,300,257,312,333,307,493,213,209,262,444,451,349,364,317,337,343,386,301,311,207,252,418,330,195,331,281,44,326
