PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1641764,Brandin Podziemski,Brandin,1610612744,GSW,22.0,64,38,26,0.594,1716.3483333333334,280,629,0.445,115,309,0.372,72,95,0.758,65,260,325,220,75,69,13,26,95,123,747,261,1638.0,2,0,1571.0,170,110,315,182,143,132,120,292,102,116,166,192,190,298,138,96,102,89,171,83,281,386,328,127,140,55,120,159,44,124
1630296,Braxton Key,Braxton,1610612744,GSW,28.0,3,3,0,1.0,10.825,0,4,0.0,0,1,0.0,3,6,0.5,1,1,2,0,1,2,0,1,0,3,3,-8,10.4,0,0,9.0,549,508,1,1,556,558,552,558,499,525,499,493,485,506,532,556,555,558,535,501,519,49,1,502,553,269,552,281,44,554
1627741,Buddy Hield,Buddy,1610612744,GSW,32.0,82,48,34,0.585,1862.9883333333332,328,786,0.417,203,549,0.37,53,64,0.828,51,213,264,134,91,69,23,31,132,46,912,141,1614.8,0,0,1697.0,1,30,441,195,115,103,86,402,19,18,174,248,263,146,192,133,156,168,122,83,173,422,445,303,99,96,127,281,44,110
203110,Draymond Green,Draymond,1610612744,GSW,35.0,68,42,26,0.618,1983.3066666666666,216,509,0.424,80,246,0.325,101,147,0.687,74,340,414,383,174,99,70,21,219,176,613,275,2017.3,6,1,1828.0,138,81,315,143,92,192,178,372,177,162,325,136,121,412,117,48,60,27,34,17,34,337,562,73,183,48,79,93,20,91
1627780,Gary Payton II,Gary,1610612744,GSW,32.0,62,36,26,0.581,927.1766666666666,171,298,0.574,31,95,0.326,27,38,0.711,53,132,185,83,39,52,17,20,108,36,400,45,914.5,0,0,837.0,192,136,315,202,279,245,278,55,294,286,321,338,331,383,179,262,245,259,292,152,225,329,375,336,268,145,266,281,44,276
1630611,Gui Santos,Gui,1610612744,GSW,22.0,56,36,20,0.643,761.5233333333333,82,179,0.458,34,103,0.33,29,42,0.69,72,100,172,80,42,25,10,9,91,41,227,165,616.4,0,0,583.0,246,136,242,103,317,348,349,250,278,278,309,324,317,407,119,307,264,271,277,315,328,197,318,321,345,86,321,281,44,324
1642050,Jackson Rowe,Jackson,1610612744,GSW,28.0,6,4,2,0.667,51.73166666666667,8,17,0.471,3,10,0.3,3,6,0.5,3,8,11,4,1,4,0,0,4,3,22,23,52.2,0,0,48.0,524,493,23,84,522,512,520,208,449,462,379,493,485,506,507,509,510,511,535,475,519,1,43,502,513,186,516,281,44,516
202710,Jimmy Butler III,Jimmy,1610612744,GSW,35.0,55,36,19,0.655,1746.135,301,597,0.504,32,104,0.308,330,392,0.842,125,171,296,298,74,77,18,50,52,283,964,246,1977.2,6,3,1780.0,253,136,226,97,138,115,134,117,286,276,366,13,16,119,48,195,125,62,174,54,215,506,225,22,92,61,83,93,11,100
1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,22.0,47,28,19,0.596,1144.08,258,568,0.454,46,151,0.305,157,235,0.668,56,161,217,104,71,38,21,48,90,145,719,8,1241.4,2,0,1204.0,298,220,226,179,246,155,150,264,251,239,374,81,63,437,166,218,208,221,186,229,194,501,315,98,150,210,204,159,44,197
1628995,Kevin Knox II,Kevin,1610612744,GSW,25.0,14,11,3,0.786,83.65666666666667,18,36,0.5,4,15,0.267,6,8,0.75,7,10,17,5,4,2,4,1,6,6,46,-3,87.9,0,0,84.0,482,407,39,40,503,474,483,125,440,448,425,469,472,310,462,501,495,502,497,501,414,49,55,482,479,252,485,281,44,487
1626172,Kevon Looney,Kevon,1610612744,GSW,29.0,76,45,31,0.592,1142.155,143,278,0.514,2,5,0.4,56,99,0.566,185,277,462,118,39,46,37,17,154,84,344,117,1285.4,2,0,1092.0,51,56,395,185,247,272,290,102,466,488,78,235,182,499,19,81,44,195,292,185,99,299,492,199,291,104,197,159,44,218
1630541,Moses Moody,Moses,1610612744,GSW,22.0,74,45,29,0.608,1649.15,246,568,0.433,126,337,0.374,106,133,0.797,52,137,189,96,54,59,31,36,116,104,724,132,1310.8,0,0,1315.0,71,56,362,157,156,172,150,336,90,95,158,130,141,226,187,254,241,239,236,124,128,441,406,164,145,98,187,281,44,180
1630311,Pat Spencer,Pat,1610612744,GSW,28.0,39,24,15,0.615,249.61166666666668,41,101,0.406,5,22,0.227,11,15,0.733,15,31,46,48,18,14,3,10,20,19,98,-17,258.2,0,0,231.0,353,261,179,144,443,421,415,428,435,427,460,426,427,342,405,438,436,348,390,391,441,207,122,404,434,299,430,281,44,435
1642366,Quinten Post,Quinten,1610612744,GSW,25.0,42,26,16,0.619,685.7566666666667,123,274,0.449,73,179,0.408,21,27,0.778,35,113,148,56,33,16,18,16,83,24,340,43,670.6,0,0,685.0,330,240,189,141,328,296,291,278,196,217,64,368,372,252,273,291,293,326,323,373,215,294,305,380,292,151,313,281,44,305
201939,Stephen Curry,Stephen,1610612744,GSW,37.0,70,41,29,0.586,2252.45,564,1258,0.448,311,784,0.397,279,299,0.933,40,270,310,421,200,80,30,47,95,247,1718,299,2851.5,9,0,2980.0,118,83,362,194,50,24,15,280,3,2,96,25,40,26,244,85,115,21,17,46,132,498,328,39,14,43,19,71,44,13
1631218,Trayce Jackson-Davis,Trayce,1610612744,GSW,25.0,62,33,29,0.532,966.7866666666666,174,302,0.576,0,3,0.0,59,102,0.578,122,189,311,104,45,23,38,43,73,75,407,-61,1074.2,4,0,944.0,192,166,362,244,275,241,274,53,499,503,499,231,180,496,52,169,113,221,270,329,94,483,277,217,265,394,233,116,44,254
1641879,Yuri Collins,Yuri,1610612744,GSW,24.0,2,2,0,1.0,16.3,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,4,0,2,0,0,5,1,2,-5,17.6,0,0,13.0,557,525,1,1,552,552,556,514,499,542,499,544,548,544,520,556,549,511,551,501,519,1,51,530,558,258,544,281,44,549
