PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,45,29,16,0.644,1121.6183333333333,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,37,35,17,22,114,77,541,198,954.6,0,0,961.0,318,212,189,102,250,223,238,116,168,200,34,189,224,33,261,251,256,336,303,252,225,349,396,213,214,72,259,281,44,251
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,65,44,21,0.677,1880.67,247,539,0.458,51,175,0.291,108,136,0.794,34,182,216,326,112,79,11,30,149,130,653,204,1559.2,2,0,1426.0,162,62,253,83,110,171,168,249,239,220,395,127,138,229,280,178,210,53,84,48,311,416,476,116,175,68,141,159,44,151
1641767,Ben Sheppard,Ben,1610612754,IND,23.0,63,40,23,0.635,1229.5583333333334,120,287,0.418,68,199,0.342,24,27,0.889,44,133,177,85,22,38,14,13,125,35,332,-59,805.9,0,0,766.0,185,89,283,111,230,298,283,400,205,198,272,348,372,54,221,260,257,253,371,229,265,254,428,340,299,392,287,281,44,289
1631097,Bennedict Mathurin,Bennedict,1610612754,IND,22.0,72,43,29,0.597,2149.318333333333,391,853,0.458,98,288,0.34,276,332,0.831,87,296,383,136,135,47,24,67,162,245,1156,94,1897.6,8,0,1915.0,95,75,362,175,69,74,71,246,141,132,278,27,27,141,93,69,73,164,67,178,170,550,506,41,64,114,93,77,44,86
1642402,Enrique Freeman,Enrique,1610612754,IND,24.0,22,7,15,0.318,181.205,16,37,0.432,1,10,0.1,13,19,0.684,11,19,30,9,6,3,3,3,21,15,46,-19,107.5,0,0,98.0,441,460,179,447,463,481,482,338,479,462,496,412,410,416,437,467,458,480,478,485,441,99,126,426,479,309,477,281,44,478
1630543,Isaiah Jackson,Isaiah,1610612754,IND,23.0,5,1,4,0.2,83.88,14,23,0.609,0,0,0.0,7,14,0.5,11,17,28,5,5,3,8,2,14,7,35,10,104.1,0,0,90.0,535,539,50,520,502,483,508,35,499,542,499,457,433,506,437,474,463,502,486,485,361,84,95,473,490,202,479,281,44,482
1626143,Jahlil Okafor,Jahlil,1610612754,IND,29.0,1,0,1,0.0,3.3666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,5,2.7,0,0,2.0,562,557,10,557,568,558,567,558,499,542,499,544,548,544,548,556,560,545,551,541,519,1,1,556,561,219,565,281,44,565
201949,James Johnson,James,1610612754,IND,38.0,12,5,7,0.417,36.61666666666667,4,11,0.364,0,3,0.0,0,1,0.0,0,6,6,4,4,0,2,0,5,1,8,-9,23.2,0,0,22.0,498,485,90,375,530,529,529,497,499,503,499,544,543,544,548,520,534,511,497,541,459,1,51,530,537,272,537,281,44,533
1630164,James Wiseman,James,1610612754,IND,24.0,1,1,0,1.0,4.633333333333334,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,0,1,6,-4,7.2,0,0,7.0,562,539,1,1,566,540,552,125,499,525,499,508,519,1,548,556,560,558,551,541,519,1,1,530,544,255,555,281,44,556
1641716,Jarace Walker,Jarace,1610612754,IND,21.0,75,45,30,0.6,1186.62,170,360,0.472,75,185,0.405,46,69,0.667,25,204,229,110,78,54,25,10,115,63,461,-146,1059.8,0,0,1033.0,59,56,383,168,237,247,246,206,191,212,70,271,251,438,329,143,192,210,161,143,162,207,402,250,242,492,236,281,44,236
1642277,Johnny Furphy,Johnny,1610612754,IND,20.0,50,31,19,0.62,379.49666666666667,35,92,0.38,15,50,0.3,18,22,0.818,23,48,71,19,12,18,11,11,41,23,103,22,291.7,0,0,266.0,283,186,226,138,410,437,425,481,361,360,379,386,391,169,342,394,387,435,437,357,311,224,192,383,432,189,418,281,44,420
