PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
203458,Alex Len,Alex,1610612747,LAL,31.0,46,21,25,0.457,379.79,32,63,0.508,2,9,0.222,8,17,0.471,38,57,95,38,20,9,21,7,56,18,74,-153,315.0,0,0,269.0,307,280,300,333,409,443,455,112,466,469,463,444,419,530,254,372,352,376,386,426,194,171,238,407,453,497,406,281,44,415
1642422,Armel Traoré,Armel,1610612747,LAL,22.0,9,5,4,0.556,66.66666666666667,6,19,0.316,0,7,0.0,2,7,0.286,2,13,15,1,3,4,2,1,6,5,14,-49,48.5,0,0,42.0,509,485,50,223,513,517,517,529,499,477,499,508,481,541,520,490,498,545,513,475,459,49,55,489,524,377,517,281,44,521
1630559,Austin Reaves,Austin,1610612747,LAL,26.0,73,46,27,0.63,2550.0916666666667,477,1037,0.46,200,531,0.377,321,366,0.877,61,268,329,421,177,81,22,47,151,321,1475,195,2633.3,9,1,2631.0,86,45,334,121,23,41,41,243,20,20,144,14,21,74,150,87,97,21,30,44,187,498,484,13,25,73,36,71,20,30
1642355,Bronny James,Bronny,1610612747,LAL,20.0,27,17,10,0.63,181.24333333333334,21,67,0.313,9,32,0.281,11,14,0.786,4,14,18,22,13,9,3,5,13,10,62,-71,139.6,0,0,135.0,421,323,117,123,462,467,451,531,401,399,408,426,433,239,491,485,492,424,433,426,441,141,93,454,462,417,465,281,44,464
1629629,Cam Reddish,Cam,1610612747,LAL,25.0,33,15,18,0.455,589.45,38,94,0.404,13,47,0.277,16,26,0.615,17,49,66,22,12,33,10,5,43,23,105,-91,334.2,0,0,292.0,390,349,211,339,352,431,424,436,377,371,415,396,377,478,394,392,398,424,437,265,328,141,196,383,431,443,401,281,44,409
1631132,Christian Koloko,Christian,1610612747,LAL,24.0,37,23,14,0.622,341.53,40,66,0.606,0,4,0.0,10,14,0.714,35,57,92,16,12,8,16,8,44,21,90,-7,284.4,0,0,246.0,361,265,168,136,418,427,453,36,499,497,499,433,433,374,273,372,356,449,437,442,242,187,200,394,439,266,422,281,44,429
1642261,Dalton Knecht,Dalton,1610612747,LAL,24.0,78,47,31,0.603,1493.795,257,557,0.461,128,340,0.376,64,84,0.762,37,179,216,66,37,24,8,27,93,58,706,-73,1123.2,0,0,1180.0,35,36,395,165,179,157,158,235,87,91,145,216,216,288,261,187,210,298,303,320,361,395,323,264,152,422,220,281,44,204
1627827,Dorian Finney-Smith,Dorian,1610612747,LAL,31.0,63,36,27,0.571,1818.6783333333333,195,435,0.448,129,314,0.411,30,45,0.667,80,167,247,90,56,58,23,24,136,42,549,309,1167.4,0,0,1177.0,185,136,334,210,124,220,216,281,85,108,57,322,308,438,104,206,173,249,228,127,173,370,449,317,211,38,217,281,44,205
1629216,Gabe Vincent,Gabe,1610612747,LAL,28.0,72,46,26,0.639,1527.265,168,420,0.4,109,309,0.353,15,21,0.714,20,72,92,98,41,51,13,12,152,45,460,48,868.4,0,0,887.0,95,45,315,106,171,248,223,445,117,116,239,403,398,374,364,345,356,229,280,159,281,241,489,305,243,141,277,281,44,263
1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,26.0,36,25,11,0.694,580.8583333333333,59,121,0.488,9,32,0.281,20,36,0.556,68,114,182,41,29,35,10,17,67,39,147,35,532.9,0,0,469.0,370,252,128,76,355,380,393,157,401,399,408,373,340,500,129,288,249,366,339,252,328,299,264,325,391,164,338,281,44,346
1629637,Jaxson Hayes,Jaxson,1610612747,LAL,24.0,56,38,18,0.679,1092.6833333333334,161,223,0.722,0,3,0.0,61,98,0.622,78,191,269,58,43,31,51,11,136,112,383,87,995.8,2,0,874.0,246,110,211,82,254,259,321,5,499,503,499,221,183,474,109,167,148,323,274,278,56,224,449,148,275,118,252,159,44,267
1630692,Jordan Goodwin,Jordan,1610612747,LAL,26.0,29,17,12,0.586,542.575,63,144,0.438,26,68,0.382,9,11,0.818,38,74,112,42,26,30,11,7,43,12,161,-11,455.4,0,0,423.0,412,323,146,193,363,375,368,319,309,330,130,437,451,169,254,342,336,360,350,285,311,171,196,441,380,280,364,281,44,365
2544,LeBron James,LeBron,1610612747,LAL,40.0,70,44,26,0.629,2444.4466666666667,651,1270,0.513,149,396,0.376,259,331,0.782,72,474,546,575,260,70,39,51,99,265,1710,-54,3294.7,32,10,3198.0,118,62,315,125,32,8,14,104,61,63,146,33,28,244,119,15,25,7,4,77,88,511,346,29,15,383,10,17,3,10
