PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1631260,AJ Green,AJ,1610612749,MIL,25.0,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,86,62,362,164,152,231,220,353,58,77,37,364,372,180,381,227,261,215,286,235,370,99,498,290,214,62,247,281,44,225
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,67,39,28,0.582,980.0916666666667,94,197,0.477,30,76,0.395,12,24,0.5,65,117,182,83,58,34,14,7,114,27,230,-33,658.9,0,0,621.0,147,100,349,201,273,329,335,186,297,313,102,420,386,506,138,282,249,259,221,259,265,171,396,369,341,352,315,281,44,319
1626171,Bobby Portis,Bobby,1610612749,MIL,30.0,49,30,19,0.612,1243.68,277,595,0.466,65,178,0.365,61,73,0.836,90,321,411,104,57,35,26,31,94,72,680,95,1455.2,11,0,1382.0,293,196,226,150,225,137,135,224,209,218,190,221,239,129,83,55,61,221,225,252,158,422,325,224,162,113,159,55,44,164
201572,Brook Lopez,Brook,1610612749,MIL,37.0,80,47,33,0.588,2546.07,394,774,0.509,139,373,0.373,114,138,0.826,113,288,401,143,84,50,148,20,171,135,1041,134,2246.7,4,0,2120.0,16,36,428,191,26,72,89,107,73,70,162,118,133,150,56,77,65,157,143,161,2,329,525,111,80,97,64,116,44,68
1641753,Chris Livingston,Chris,1610612749,MIL,21.0,21,15,6,0.714,105.81,9,27,0.333,0,8,0.0,12,16,0.75,10,25,35,5,6,5,0,5,8,10,30,-29,88.5,0,0,80.0,445,349,76,68,494,508,499,514,499,471,499,420,423,310,444,453,454,502,478,461,519,141,64,454,500,343,484,281,44,488
203081,Damian Lillard,Damian,1610612749,MIL,34.0,58,32,26,0.552,2092.87,444,992,0.448,197,524,0.376,362,393,0.921,29,243,272,410,162,70,10,43,97,299,1447,53,2466.4,14,2,2486.0,223,179,315,228,77,57,48,287,21,23,147,9,15,30,310,106,144,23,40,77,328,483,338,17,29,137,45,40,15,41
1629018,Gary Trent Jr.,Gary,1610612749,MIL,26.0,74,44,30,0.595,1893.395,283,657,0.431,180,433,0.416,78,92,0.848,20,148,168,87,42,72,4,11,124,71,824,70,1342.1,0,0,1411.0,71,62,383,181,106,129,113,342,27,45,50,183,197,110,364,241,269,251,277,70,414,224,425,228,116,124,178,281,44,154
203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,30.0,67,40,27,0.597,2288.63,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,206,58,78,76,155,507,2036,334,3845.1,55,11,3553.0,147,89,334,177,44,2,11,39,369,335,463,4,1,477,34,5,6,16,12,127,23,559,496,1,4,28,3,5,2,4
1631123,Jamaree Bouyea,Jamaree,1610612749,MIL,25.0,5,4,1,0.8,61.7,6,12,0.5,1,5,0.2,4,6,0.667,1,4,5,10,8,4,2,1,2,6,17,2,48.0,0,0,45.0,535,493,10,32,516,517,528,125,479,488,471,485,485,438,532,529,538,477,463,475,459,49,24,482,518,226,518,281,44,518
1630579,Jericho Sims,Jericho,1610612749,MIL,26.0,53,34,19,0.642,631.245,45,71,0.634,0,0,0.0,8,13,0.615,71,126,197,33,33,10,19,9,65,22,98,25,437.9,0,0,386.0,263,157,226,105,341,408,446,29,499,542,499,444,438,478,124,267,234,390,323,418,210,197,260,388,434,180,371,281,44,380
