PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,79,48,31,0.608,2871.0583333333334,721,1612,0.447,320,811,0.395,415,496,0.837,61,389,450,359,249,91,51,55,150,343,2177,291,3432.5,7,0,3590.0,23,30,395,160,3,4,2,288,1,1,104,6,5,126,150,29,47,38,5,28,56,523,480,10,2,46,6,87,44,3
1630538,Bones Hyland,Bones,1610612750,MIN,24.0,24,11,13,0.458,238.77,47,118,0.398,32,82,0.39,23,26,0.885,5,20,25,32,25,18,4,5,29,17,149,-31,268.0,0,0,282.0,432,407,157,329,448,404,397,450,286,301,113,354,377,59,480,462,470,395,355,357,414,141,152,418,389,347,428,281,44,412
1630227,Daishen Nix,Daishen,1610612750,MIN,23.0,3,3,0,1.0,13.233333333333333,0,1,0.0,0,1,0.0,1,2,0.5,0,4,4,3,4,0,0,0,1,1,1,9,6.3,0,0,8.0,549,508,1,1,554,558,563,558,499,525,499,530,519,506,548,529,543,521,497,541,519,1,17,530,560,206,557,281,44,555
1628978,Donte DiVincenzo,Donte,1610612750,MIN,28.0,62,37,25,0.597,1605.7333333333333,250,593,0.422,174,438,0.397,49,63,0.778,32,196,228,225,99,73,17,22,114,86,723,174,1505.1,1,0,1530.0,192,124,300,178,158,166,137,386,34,42,94,258,267,252,290,157,194,86,109,66,225,349,396,195,147,80,151,198,44,132
1630183,Jaden McDaniels,Jaden,1610612750,MIN,24.0,82,49,33,0.598,2614.41,398,834,0.477,100,303,0.33,104,128,0.813,129,341,470,163,95,110,74,41,225,136,1000,172,2265.5,10,0,2101.0,1,25,428,173,15,71,76,185,139,123,310,133,144,186,43,46,40,131,119,11,27,477,563,109,86,82,62,62,44,70
1641740,Jaylen Clark,Jaylen,1610612750,MIN,23.0,40,28,12,0.7,521.9933333333333,56,120,0.467,22,51,0.431,29,37,0.784,26,27,53,26,8,36,2,10,61,30,163,44,371.6,0,0,340.0,342,220,146,72,367,388,395,221,331,358,33,324,335,243,321,447,422,412,463,244,459,207,249,355,376,147,389,281,44,392
1642399,Jesse Edwards,Jesse,1610612750,MIN,25.0,2,2,0,1.0,4.666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,1,0,-10,1.5,0,0,1.0,557,525,1,1,565,558,567,558,499,542,499,544,548,544,548,564,565,545,551,541,519,1,24,530,561,276,568,281,44,568
204060,Joe Ingles,Joe,1610612750,MIN,37.0,19,12,7,0.632,114.08666666666667,6,23,0.261,3,15,0.2,0,0,0.0,2,9,11,23,9,2,0,1,12,5,15,2,59.7,0,0,56.0,457,393,90,115,489,517,508,543,449,448,471,544,548,544,520,504,510,420,458,501,519,49,88,489,521,226,510,281,44,510
1631169,Josh Minott,Josh,1610612750,MIN,22.0,46,32,14,0.696,276.275,44,90,0.489,14,43,0.326,17,19,0.895,12,35,47,18,11,15,12,6,34,15,119,-16,272.4,0,0,252.0,307,179,168,75,433,413,427,153,369,380,323,390,410,45,426,428,432,440,446,383,295,156,174,426,413,295,427,281,44,427
203944,Julius Randle,Julius,1610612750,MIN,30.0,69,44,25,0.638,2225.5266666666666,455,939,0.485,108,314,0.344,270,335,0.806,144,343,487,323,196,47,16,60,175,257,1288,166,2349.9,14,0,2332.0,129,62,300,109,56,53,55,165,119,108,264,30,26,205,36,45,35,54,19,178,242,534,530,34,50,84,57,40,44,54
1631159,Leonard Miller,Leonard,1610612750,MIN,21.0,13,11,2,0.846,31.595,6,15,0.4,0,5,0.0,8,8,1.0,3,8,11,0,2,2,1,1,2,4,20,-12,40.2,0,0,37.0,489,407,23,19,538,517,522,445,499,488,499,444,472,1,507,509,510,558,520,501,489,49,24,496,515,283,524,281,44,523
