PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1641817,Anton Watson,Anton,1610612752,NYK,24.0,9,5,4,0.556,22.166666666666668,4,9,0.444,0,1,0.0,0,0,0.0,1,2,3,2,2,1,0,1,3,0,8,-9,15.6,0,0,15.0,509,485,50,223,546,529,535,293,499,525,499,544,548,544,532,547,549,530,520,521,519,49,34,556,537,272,546,281,44,544
1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,25,17,8,0.68,217.365,21,31,0.677,0,0,0.0,6,13,0.462,14,37,51,11,21,1,15,2,32,13,48,-63,152.7,0,0,142.0,427,323,104,80,454,467,491,14,499,542,499,469,438,533,411,422,424,469,380,521,257,84,168,436,478,397,457,281,44,460
1626166,Cameron Payne,Cameron,1610612752,NYK,30.0,72,46,26,0.639,1089.9766666666667,179,446,0.401,93,256,0.363,49,54,0.907,14,90,104,203,52,39,16,12,111,61,500,204,1042.3,0,0,1010.0,95,45,315,106,256,236,213,441,151,153,199,258,288,36,411,317,343,101,250,219,242,241,385,255,233,68,238,281,44,243
1626153,Delon Wright,Delon,1610612752,NYK,32.0,40,22,18,0.55,634.4966666666667,45,131,0.344,20,73,0.274,15,25,0.6,27,39,66,77,22,35,12,7,25,31,125,1,438.7,0,0,382.0,342,274,211,231,340,408,382,512,341,322,418,403,383,482,313,417,398,277,371,252,295,171,142,349,408,230,370,281,44,382
1628973,Jalen Brunson,Jalen,1610612752,NYK,28.0,65,40,25,0.615,2300.7083333333335,585,1200,0.488,152,397,0.383,368,448,0.821,27,160,187,475,164,60,8,50,138,410,1690,146,2666.9,14,0,2640.0,162,89,300,144,40,19,19,158,60,61,129,8,8,163,313,221,243,12,39,119,361,506,456,4,18,92,32,40,44,28
1628404,Josh Hart,Josh,1610612752,NYK,30.0,77,48,29,0.623,2896.83,404,770,0.525,84,252,0.333,159,205,0.776,161,576,737,453,158,119,27,59,201,182,1051,203,2894.9,34,9,2617.0,43,30,362,132,2,68,90,88,168,157,297,77,77,261,28,7,11,14,45,7,150,531,554,66,79,70,18,16,5,32
1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,29.0,72,46,26,0.639,2516.72,639,1215,0.526,142,338,0.42,339,409,0.829,212,708,920,222,192,71,50,83,249,345,1759,378,3367.0,58,1,3285.0,95,45,315,106,27,10,17,87,68,94,43,12,12,144,12,2,3,88,22,73,59,564,567,9,11,21,8,4,20,9
1641755,Kevin McCullar Jr.,Kevin,1610612752,NYK,24.0,4,4,0,1.0,29.166666666666668,2,7,0.286,0,1,0.0,2,2,1.0,0,8,8,2,0,1,1,1,6,3,6,-2,24.6,0,0,20.0,541,493,1,1,541,540,542,539,499,525,499,508,519,1,548,509,521,530,551,521,489,49,55,502,544,246,534,281,44,539
1629013,Landry Shamet,Landry,1610612752,NYK,28.0,50,30,20,0.6,761.6,106,230,0.461,62,156,0.397,12,18,0.667,11,50,61,27,22,23,2,12,52,36,286,88,452.7,0,0,486.0,283,196,242,168,316,318,318,238,218,233,92,420,414,438,437,388,407,408,371,329,459,241,225,336,317,115,366,281,44,342
1630699,MarJon Beauchamp,MarJon,1610612752,NYK,24.0,35,19,16,0.543,156.28166666666667,27,65,0.415,10,29,0.345,15,20,0.75,11,33,44,11,15,4,1,5,14,12,79,9,148.3,0,0,154.0,381,302,189,236,468,454,454,405,396,409,258,403,407,310,437,434,438,469,414,475,489,141,95,441,448,206,460,281,44,454
