PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,76,62,14,0.816,1743.9,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,69,60,18,39,101,68,914,514,1634.0,2,0,1629.0,51,4,168,25,139,95,97,156,83,93,125,187,204,140,103,130,127,168,192,119,215,462,351,235,97,9,123,159,44,119
1641745,Adam Flagler,Adam,1610612760,OKC,25.0,37,34,3,0.919,202.965,25,96,0.26,14,72,0.194,1,2,0.5,7,20,27,12,4,8,3,2,15,1,65,7,144.4,0,0,140.0,361,157,39,11,457,462,419,544,369,323,479,530,519,506,462,462,465,463,497,442,441,84,100,530,460,213,464,281,44,462
1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,36,31,5,0.861,596.955,91,184,0.495,23,60,0.383,29,35,0.829,18,50,68,64,29,25,4,11,68,55,234,127,469.6,1,0,447.0,370,186,64,15,349,334,346,147,325,340,128,324,342,145,381,388,394,308,339,315,414,224,269,273,339,99,359,198,44,352
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,54,44,10,0.815,1040.635,140,314,0.446,60,170,0.353,42,51,0.824,38,121,159,137,37,87,30,14,102,62,382,321,1092.3,0,0,972.0,258,62,117,26,266,275,269,291,222,224,235,287,291,156,254,275,282,161,303,35,132,268,358,252,276,35,228,281,44,249
1642505,Alex Ducas,Alex,1610612760,OKC,24.0,21,20,1,0.952,125.34166666666667,12,30,0.4,10,21,0.476,2,2,1.0,9,17,26,5,4,5,0,1,12,1,36,-22,85.7,0,0,87.0,445,296,10,10,480,493,495,445,396,429,14,508,519,1,448,474,469,502,497,461,519,49,88,530,486,317,489,281,44,484
1642382,Branden Carlson,Branden,1610612760,OKC,25.0,32,29,3,0.906,246.40333333333334,43,97,0.443,22,66,0.333,14,18,0.778,17,37,54,14,7,5,21,4,22,13,122,41,278.8,1,0,264.0,397,212,39,12,445,414,418,300,331,332,297,410,414,252,394,422,419,456,475,461,194,125,131,436,410,155,424,198,44,422
1641717,Cason Wallace,Cason,1610612760,OKC,21.0,68,55,13,0.809,1876.26,232,489,0.474,74,208,0.356,30,37,0.811,71,158,229,173,59,120,35,32,145,42,568,369,1508.3,0,0,1354.0,138,11,157,30,111,182,189,197,194,191,222,322,335,193,124,225,192,120,218,6,107,430,469,317,203,22,150,281,44,172
1631096,Chet Holmgren,Chet,1610612760,OKC,22.0,32,26,6,0.813,876.54,167,341,0.49,44,116,0.379,101,134,0.754,48,209,257,63,56,23,71,35,72,95,479,294,1107.9,11,0,1031.0,397,240,76,27,291,250,256,151,255,267,138,136,140,305,202,137,166,311,228,329,30,438,275,179,237,45,223,55,44,237
1641794,Dillon Jones,Dillon,1610612760,OKC,23.0,54,45,9,0.833,551.4933333333333,51,133,0.383,16,63,0.254,17,28,0.607,30,91,121,58,28,16,4,11,54,21,135,75,399.2,1,0,370.0,258,56,112,21,361,400,379,475,355,335,437,390,370,481,302,316,321,323,343,373,414,224,231,394,404,123,384,198,44,385
1628392,Isaiah Hartenstein,Isaiah,1610612760,OKC,26.0,57,49,8,0.86,1589.6416666666667,279,480,0.581,0,19,0.0,79,117,0.675,163,448,611,218,96,47,62,31,171,94,637,417,1928.2,28,0,1684.0,232,25,104,16,163,135,194,48,499,436,499,177,164,430,27,17,18,92,118,178,42,422,525,184,177,16,90,22,44,114
1630198,Isaiah Joe,Isaiah,1610612760,OKC,25.0,74,63,11,0.851,1603.9766666666667,259,588,0.44,192,466,0.412,46,56,0.821,41,155,196,119,38,48,9,19,113,102,756,550,1302.7,0,0,1377.0,71,2,128,17,159,154,141,308,23,32,54,271,283,163,242,230,235,193,300,171,346,320,392,167,136,3,190,281,44,167
1631114,Jalen Williams,Jalen,1610612760,OKC,24.0,69,55,14,0.797,2236.673333333333,565,1168,0.484,124,340,0.365,236,299,0.789,59,310,369,355,150,111,46,59,158,245,1490,456,2786.3,3,0,2652.0,129,11,168,36,53,23,23,167,94,91,193,39,40,236,159,64,80,39,48,10,67,531,502,41,24,14,26,134,44,27
1631119,Jaylin Williams,Jaylin,1610612760,OKC,22.0,47,40,7,0.851,784.055,97,221,0.439,61,153,0.399,23,30,0.767,48,214,262,120,35,22,29,5,79,42,278,302,890.4,4,3,823.0,298,89,90,18,309,326,323,312,221,236,88,354,362,280,202,130,158,191,313,337,140,141,290,317,322,39,271,116,11,280
1629026,Kenrich Williams,Kenrich,1610612760,OKC,30.0,69,58,11,0.841,1131.5383333333334,171,354,0.483,66,171,0.386,28,39,0.718,65,176,241,97,39,43,10,22,110,54,436,329,990.7,2,0,946.0,129,7,128,20,248,245,248,169,208,223,120,331,328,370,138,190,181,235,292,202,328,349,383,278,257,32,255,159,44,253
1629652,Luguentz Dort,Luguentz,1610612760,OKC,26.0,71,57,14,0.803,2073.3,258,593,0.435,170,413,0.412,33,46,0.717,89,204,293,115,51,79,39,23,208,108,719,547,1546.1,0,0,1533.0,108,10,168,31,80,155,137,331,38,52,56,306,304,371,86,143,130,198,254,48,88,356,559,156,150,4,144,281,44,131
1642502,Malevy Leons,Malevy,1610612760,OKC,25.0,6,6,0,1.0,20.966666666666665,0,2,0.0,0,1,0.0,2,4,0.5,1,2,3,1,1,0,0,1,4,2,2,-18,6.1,0,0,6.0,524,473,1,1,548,558,558,558,499,525,499,508,502,506,532,547,549,545,535,541,519,49,43,518,558,304,558,281,44,558
1631172,Ousmane Dieng,Ousmane,1610612760,OKC,21.0,37,30,7,0.811,404.84166666666664,54,125,0.432,23,71,0.324,11,16,0.688,18,63,81,31,18,17,7,6,33,13,142,45,339.7,0,0,325.0,361,196,90,29,399,393,388,341,325,326,333,426,423,411,381,367,375,397,390,363,370,156,172,436,395,145,398,281,44,395
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,26.0,76,63,13,0.829,2597.63,860,1656,0.519,163,435,0.375,601,669,0.898,67,312,379,486,183,131,77,77,164,467,2484,918,4108.8,6,0,3928.0,51,2,157,23,18,1,1,93,45,44,155,1,2,44,133,61,74,11,27,2,24,561,511,2,1,1,2,93,44,2
