TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS
1610612739,Cleveland Cavaliers,East,1,0.78,0.491,0.383,0.776,3723,2304,1082.0,670,350,361,9999,782.0
1610612738,Boston Celtics,East,2,0.744,0.462,0.368,0.799,3716,2144,973.0,589,452,295,9534,747.0
1610612752,New York Knicks,East,3,0.622,0.486,0.369,0.8,3497,2254,1088.0,671,324,406,9494,336.0
1610612754,Indiana Pacers,East,4,0.61,0.488,0.368,0.789,3430,2398,1082.0,694,448,366,9624,183.0
1610612749,Milwaukee Bucks,East,5,0.585,0.486,0.387,0.75,3556,2090,1097.0,601,384,315,9472,203.0
1610612765,Detroit Pistons,East,6,0.537,0.476,0.362,0.774,3670,2165,1218.0,652,431,413,9471,156.0
1610612753,Orlando Magic,East,7,0.5,0.445,0.318,0.775,3431,1887,1165.0,729,488,361,8645,-10.0
1610612737,Atlanta Hawks,East,8,0.488,0.472,0.358,0.775,3649,2426,1273.0,798,419,403,9691,-93.0
1610612760,Oklahoma City Thunder,West,1,0.829,0.482,0.374,0.819,3672,2202,961.0,847,465,392,9881,1055.0
1610612745,Houston Rockets,West,2,0.634,0.455,0.353,0.738,3974,1914,1139.0,689,411,467,9372,370.0
1610612747,Los Angeles Lakers,West,3,0.61,0.479,0.366,0.785,3479,2131,1145.0,633,367,344,9298,100.0
1610612743,Denver Nuggets,West,4,0.61,0.506,0.376,0.77,3751,2542,1169.0,656,402,420,9902,319.0
1610612746,LA Clippers,West,5,0.61,0.482,0.373,0.797,3591,2064,1220.0,773,370,352,9256,382.0
1610612750,Minnesota Timberwolves,West,6,0.598,0.468,0.377,0.789,3634,2142,1186.0,654,406,368,9372,410.0
1610612744,Golden State Warriors,West,7,0.585,0.451,0.364,0.764,3721,2386,1152.0,771,391,441,9331,271.0
1610612763,Memphis Grizzlies,West,8,0.585,0.479,0.367,0.786,3875,2330,1285.0,726,462,450,9980,398.0
